arm,ky,kx,radius,extracted_magnitude,extracted_freq,extracted_sigma,label,exact_magnitude,exact_freq,magnitude_error,freq_error
rotating,0,3,3.0,0.9646016541013446,0.024005763128244813,-0.03604005654327805,damped,0.9658972392920434,0.023873241463784306,-0.0012955851906988336,0.00013252166446050748
rotating,0,4,4.0,0.9371540615688055,0.024150248856048308,-0.06490759022846436,damped,0.9401789706739411,0.0238732414637843,-0.0030249091051355315,0.0002770073922640087
rotating,0,5,5.0,0.9057715017330039,0.02412822163827968,-0.09896821034104755,damped,0.9081162722143948,0.0238732414637843,-0.002344770481390923,0.0002549801744953818
rotating,0,6,6.0,0.8682331364976504,0.023711899972304138,-0.14129500995065916,damped,0.8704096536513517,0.0238732414637843,-0.002176517153701263,-0.000161341491480161
rotating,1,0,1.0,0.9926195126135164,0.02394957621767137,-0.007407857938681104,damped,0.9961521079633432,0.0238732414637843,-0.0035325953498267504,7.633475388707164e-05
rotating,1,1,1.4142135623730951,0.9897476098863963,0.02400425909892607,-0.010305307864792824,damped,0.9923190221998122,0.0238732414637843,-0.002571412313415844,0.00013101763514176967
rotating,1,2,2.23606797749979,0.977753962539664,0.0239189206919927,-0.0224972126422083,damped,0.9809080339138542,0.0238732414637843,-0.003154071374190215,4.567922820839995e-05
rotating,1,3,3.1622776601683795,0.9597058755468977,0.024040582959676485,-0.041128421102733535,damped,0.9621805709967428,0.023873241463784306,-0.0024746954498451323,0.00016734149589217942
rotating,1,4,4.123105625617661,0.9328595913176436,0.024183654693567064,-0.06950058108075419,damped,0.9365612634996526,0.023873241463784296,-0.003701672182009008,0.00031041322978276817
rotating,1,5,5.0990195135927845,0.9017406356697042,0.02395287039289742,-0.10342834387153403,damped,0.9046219388421827,0.023873241463784306,-0.0028813031724784777,7.962892911311456e-05
rotating,2,0,2.0,0.9823388945060151,0.024044834482745907,-0.017818923741591327,damped,0.9846970418195912,0.023873241463784306,-0.0023581473135760866,0.00017159301896160079
rotating,2,1,2.23606797749979,0.9777302142470973,0.023997929179626905,-0.02252150155525578,damped,0.9809080339138542,0.0238732414637843,-0.003177819666756898,0.00012468771584260574
rotating,2,2,2.8284271247461903,0.9666343485745624,0.023919317164104944,-0.03393498474363348,damped,0.9696282641682539,0.0238732414637843,-0.002993915593691443,4.6075700320644813e-05
rotating,2,3,3.605551275463989,0.9481761016334104,0.02399175553501849,-0.05321503276191605,damped,0.9511161542325851,0.0238732414637843,-0.002940052599174736,0.00011851407123419228
rotating,2,4,4.47213595499958,0.9229983284833205,0.023868158926608443,-0.08012785544157416,damped,0.9257914512036179,0.023873241463784306,-0.002793122720297414,-5.082537175862822e-06
rotating,2,5,5.385164807134504,0.8920563409319816,0.023953928067253286,-0.11422598591699311,damped,0.8942194068777493,0.023873241463784306,-0.0021630659457676504,8.06866034689796e-05
rotating,3,0,3.0,0.9642385029430942,0.024068488510142132,-0.03641660528031567,damped,0.9658972392920434,0.023873241463784306,-0.0016587363489491969,0.0001952470463578264
rotating,3,1,3.1622776601683795,0.9587792695716155,0.023962397828262854,-0.04209439787841205,damped,0.9621805709967428,0.023873241463784306,-0.00340130142512729,8.9156364478548e-05
rotating,3,2,3.605551275463989,0.9481963469176744,0.024159620526775703,-0.053193681171114074,damped,0.9511161542325851,0.0238732414637843,-0.002919807314910705,0.00028637906299140356
rotating,3,3,4.242640687119285,0.9309418971781093,0.02435296895207284,-0.07155841269866506,damped,0.9329574768719912,0.0238732414637843,-0.002015579693881886,0.0004797274882885408
rotating,3,4,5.0,0.9059252786356788,0.02401726571573432,-0.09879845025237206,damped,0.9081162722143948,0.0238732414637843,-0.002190993578715994,0.00014402425195001942
rotating,3,5,5.830951894845301,0.875333464606622,0.02411990092750007,-0.13315036281803214,damped,0.8771470002880658,0.0238732414637843,-0.001813535681443823,0.0002466594637157704
rotating,4,0,4.0,0.9414051198850976,0.02376632774116989,-0.060381711443632274,damped,0.9401789706739411,0.0238732414637843,0.001226149211156491,-0.00010691372261440943
rotating,4,1,4.123105625617661,0.9328059773475834,0.023948844421166703,-0.06955805544376484,damped,0.9365612634996526,0.023873241463784296,-0.003755286152069215,7.5602957382407e-05
rotating,4,2,4.47213595499958,0.92205399756039,0.023720207865539415,-0.08115149145672577,damped,0.9257914512036179,0.023873241463784306,-0.0037374536432279726,-0.00015303359824489146
rotating,4,3,5.0,0.9060834591702656,0.024091161241768442,-0.09862385889231047,damped,0.9081162722143948,0.0238732414637843,-0.002032813044129278,0.00021791977798414283
rotating,4,4,5.656854249492381,0.8840273113855606,0.024000232179768793,-0.1232673215892069,damped,0.8839364968975113,0.023873241463784306,9.081448804926229e-05,0.0001269907159844874
rotating,5,0,5.0,0.8956124457149859,0.023734299086789666,-0.1102474978433896,damped,0.9081162722143948,0.0238732414637843,-0.012503826499408954,-0.00013894237699463297
rotating,5,1,5.0990195135927845,0.9060126137816273,0.02399149713334096,-0.09870205053979736,damped,0.9046219388421827,0.023873241463784306,0.0013906749394446694,0.00011825566955665431
rotating,5,2,5.385164807134504,0.8964811462981195,0.02379107728429761,-0.1092780165003998,damped,0.8942194068777493,0.023873241463784306,0.0022617394203702235,-8.21641794866955e-05
rotating,5,3,5.830951894845301,0.8782551674789127,0.023591735186317582,-0.1298181040175721,damped,0.8771470002880658,0.0238732414637843,0.0011081671908469426,-0.0002815062774667171
rotating,6,0,6.0,0.8403063690448184,0.0239738838718849,-0.1739887285874368,damped,0.8704096536513517,0.0238732414637843,-0.03010328460653333,0.00010064240810059993
advection,-6,0,6.0,0.9500986597194728,0.00021441321828272024,-0.051189447443543895,damped,0.9862167399039081,0.0,-0.0361180801844353,0.00021441321828272024
advection,-5,0,5.0,0.982910016749357,9.04066245067006e-07,-0.01723770244575556,damped,0.9904080138578515,0.0,-0.007497997108494525,9.04066245067006e-07
advection,-5,1,5.0990195135927845,0.9502983305620049,0.0006730159491538506,-0.050979311514800715,damped,0.990026254042921,0.015625,-0.03972792348091614,-0.01495198405084615
advection,-5,2,5.385164807134504,0.9486171314809982,0.0018189121678461487,-0.05275000594946643,damped,0.9888818572834879,0.03125,-0.04026472580248963,-0.02943108783215385
advection,-5,3,5.830951894845301,0.9474025546916323,0.002495170873480473,-0.05403119196706041,damped,0.9869774682350012,0.046875,-0.03957491354336895,-0.04437982912651953
advection,-4,0,4.0,0.9974205995418846,0.0004267327639482017,-0.002582732843080752,primary,0.9938504834036374,0.0,0.0035701161382472035,0.0004267327639482017
advection,-4,1,4.123105625617661,0.9877164646572999,0.01481341058303127,-0.012359601512450467,damped,0.9934673966643301,0.015625,-0.005750932007030252,-0.0008115894169687301
advection,-4,2,4.47213595499958,0.9924877702516616,0.030699824323372392,-0.007540588661282791,damped,0.9923190221998122,0.031249999999999997,0.00016874805184941,-0.0005501756766276046
advection,-4,3,5.0,0.9819170465168319,0.045564228140762844,-0.018248448211247912,damped,0.9904080138578515,0.04687499999999999,-0.008490967341019617,-0.001310771859237149
advection,-4,4,5.656854249492381,0.9826323972425594,0.06085397658816145,-0.017520188854257848,damped,0.9877387833616438,0.06250000000000001,-0.005106386119084427,-0.0016460234118385667
advection,-3,0,3.0,0.9977481105155459,1.530764393418255e-05,-0.002254428800468122,primary,0.9965362299427611,0.0,0.0012118805727847626,1.530764393418255e-05
advection,-3,1,3.1622776601683795,0.9921282829999465,0.015543225917555534,-0.007902862517787943,damped,0.9961521079633432,0.015625,-0.004023824963396705,-8.177408244446592e-05
advection,-3,2,3.605551275463989,0.98947320546613,0.031304971591603184,-0.01058259316807575,damped,0.9950006301721226,0.03125,-0.005527424705992545,5.497159160318399e-05
advection,-3,3,4.242640687119285,0.9842323719608184,0.04574086509128754,-0.01589325944230712,damped,0.9930844575885316,0.04687499999999999,-0.008852085627713224,-0.0011341349087124544
advection,-3,4,5.0,0.9877357102888992,0.06105206114374561,-0.012340116726289641,damped,0.9904080138578515,0.06250000000000001,-0.0026723035689523167,-0.0014479388562544035
advection,-3,5,5.830951894845301,0.9822429546068592,0.07646766005260218,-0.01791659327801252,damped,0.9869774682350012,0.078125,-0.004734513628142034,-0.0016573399473978206
advection,-2,0,2.0,0.9976092633390539,0.00043699181620467846,-0.002393599034868711,primary,0.9984590627771489,0.0,-0.0008497994380950447,0.00043699181620467846
advection,-2,1,2.23606797749979,0.9968046449226071,0.015774564493513155,-0.003200471125729185,resonant,0.9980741996281355,0.015625,-0.001269554705528364,0.0001495644935131553
advection,-2,2,2.8284271247461903,0.9930396884254215,0.03141009839883898,-0.006984647532830456,damped,0.9969205000418225,0.031249999999999997,-0.003880811616401081,0.00016009839883898355
advection,-2,3,3.605551275463989,0.9874735548957586,0.04629625006549616,-0.012605562417843112,damped,0.9950006301721226,0.046875,-0.0075270752763639814,-0.0005787499345038388
advection,-2,4,4.47213595499958,0.987786092696561,0.06122288925513824,-0.01228911004279301,damped,0.992319022199812,0.06250000000000001,-0.004532929503251015,-0.0012771107448617744
advection,-2,5,5.385164807134504,0.98881971525186,0.07638299169705336,-0.011243253913707011,damped,0.988881857283488,0.078125,-6.214203162802079e-05,-0.0017420083029466432
advection,-1,0,1.0,1.0000034832785047,0.000591752699048013,3.4832724381451297e-06,primary,0.9996145428857715,0.0,0.0003889403927332946,0.000591752699048013
advection,-1,1,1.4142135623730951,0.9959454919037489,0.015357974597173266,-0.004062749899384103,resonant,0.9992292343487298,0.015625,-0.003283742444980864,-0.00026702540282673437
